"name","counts","id","artistart","song_names_list"
"Drake",6,"3TVXtAsR1Inumwj472S9r4","https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9","1.Girls Want Girls,2.Only,3.Own It,4.In My Feeling,5.Search & Rescue,6.Stay Schemin"
"Earth, Wind & Fire",6,"4QQgXkCYTt3BlENzhyNETg","https://i.scdn.co/image/ab6761610000e5eb9722e16a886767adf1178f92","1.Love's Dance,2.September,3.September,4.Let's Groove,5.September,6.Can't Hide Love"
"Fall Out Boy",6,"4UXqAaa6dQYAk18Lv7PEgX","https://i.scdn.co/image/ab6761610000e5eb362011ebe6064c38e97e9aac","1.Thnks fr th Mmrs,2.Bang The Doldrums,3.""From Now On We Are Enemies"",4.I Wanna Dance With Somebody (Who Loves Me) - Recorded at Spotify Studios NYC,5.20 Dollar Nose Bleed,6.Hold Me Like A Grudge"
"Mariah Carey",6,"4iHNK0tOyZPYnBU7nGAgpQ","https://i.scdn.co/image/ab6761610000e5eb21b66418f7f3b86967f85bce","1.All I Want for Christmas Is You,2.All I Want for Christmas Is You,3.Underneath the Stars,4.Fantasy,5.Fantasy,6.We Belong Together"
"Mary J. Blige",6,"1XkoF8ryArs86LZvFOkbyr","https://i.scdn.co/image/ab6761610000e5ebc9795e444b70d04beca52d5a","1.Reminisce,2.Share My World,3.Work In Progress (Growing Pains),4.Everything,5.I Can Love You,6.Share My World"
"Michael Jackson",6,"3fMbdgg4jU18AjLCKBhRSm","https://i.scdn.co/image/ab6761610000e5eb997cc9a4aec335d46c9481fd","1.Remember the Time,2.Thriller,3.Rock with You,4.Don't Stop 'Til You Get Enough,5.Thriller,6.Ease On Down The Road #1 (The Wiz)"
"SZA",6,"7tYKF4w9nC0nq9CsPZTHyP","https://i.scdn.co/image/ab6761610000e5eb0895066d172e1f51f520bc65","1.20 Something,2.Low,3.Snooze,4.Hit Different,5.Snooze,6.Shirt"
"T-Pain",6,"3aQeKQSyrW4qWr35idm0cy","https://i.scdn.co/image/ab6761610000e5eb10b37a100a8628efe540d1ef","1.Bartender,2.Bartender,3.I'm Sprung,4.Low,5.Up Down (Do This All Day),6.Good Life"
"2Pac",5,"1ZwdS5xdxEREPySFridCfh","https://i.scdn.co/image/ab6761610000e5eb7f5cc432c9c109248ebec1ac","1.Hit 'Em Up,2.Hit 'Em Up,3.California Love ,4.Ambitionz Az A Ridah,5.Hit 'Em Up"
"Aaliyah",5,"0urTpYCsixqZwgNTkPJOJ4","https://i.scdn.co/image/ab6761610000e5ebd2493cea701d45401cc79ffd","1.At Your Best (You Are Love),2.4 Page Letter,3.Come Over,4.At Your Best (You Are Love),5.At Your Best (You Are Love)"
"Alicia Keys",5,"3DiDSECUqqY1AuBP8qtaIa","https://i.scdn.co/image/ab6761610000e5ebebfd16a3bca87c31c1e20576","1.Fallin',2.You Don't Know My Name,3.Un-thinkable (I'm Ready),4.Un-thinkable (I'm Ready),5.No One"
